option,description,descrption_short,colname
Y,year.fraction_of_year,year_fraction,Year (fraction)
p,planet index,planet_index,Planet index
P,planet name,graha,Graha
J,absolute juldate,absolute_julian_date,Julian date
T,date formatted like 23.02.1992,date,Datetime
t,date formatted like 920223 for 1992 february 23,date_yymmdd,Date (yymmdd)
L,"longitude in degree ddd mm' ss""""",longitude_degree,Lon°
l,longitude decimal,longitude_decimal,Lon
Z,"longitude ddsignmm'ss""""","longitude ddsignmm'ss""""",Lon(with sign)
S,speed in longitude in degree ddd:mm:ss per day,longitude_speed_degreeperday,Speed°
SS,speed for all values specified in fmt,speed for all values specified in fmt,Speed(fmt)
s,speed longitude decimal (degrees/day),longitude_speed_decimal,Speed
ss,speed for all values specified in fmt,speed for all values specified in fmt,Speed(fmt)
B,latitude degree,latitude_degree,Lat°
b,latitude decimal,latitude_decimal,Lat
R,distance decimal in AU,distance_decimal_au,Distance(AU)
r,"distance decimal in AU, Moon in seconds parallax",distance_decimal_au_moon_parallax,"Distance(AU, moon_parallax)"
W,distance decimal in light years,distance_decimal_lightyear,Distance(lightyears)
w,distance decimal in km,distance_decimal_km,Distance(km)
q,"relative distance (1000=nearest, 0=furthest)",relative_distance_0_furthest,Distance rank
A,right ascension in hh:mm:ss,right_ascension_hhmmss,Right ascension (hms)
a,right ascension hours decimal,right_ascension_decimal,Right ascension
m,Meridian distance,meridian_distance,Meridian distance
z,Zenith distance,zenith_distance,Zenith distance
D,declination degree,declination_degree,Declination°
d,declination decimal,declination_decimal,Declination
I,azimuth degree,azimuth_degree,Azimuth°
i,azimuth decimal,azimuth_decimal,Azimuth
H,altitude degree,altitude_degree,Altitude°
h,altitude decimal,altitude_decimal,Alititude
K,altitude (with refraction) degree,altitude_refraction_degree,Altitude°(refracted)
k,altitude (with refraction) decimal,altitude_refraction_decimal,Alititude(refracted)
G,house position in degrees,house_position_degrees,House longitude°
g,house position in degrees decimal,house_position_decimal,House longitude
j,house number 1.0 - 12.99999,house_number_decimal,Bhava
X,"x-, y-, and z-coordinates ecliptical",xyz_coordinates_ecliptical,xyz coords(ecliptical)
x,"x-, y-, and z-coordinates equatorial",xyz_coordinates_equatorial,xyz coords(equitorial)
U,unit vector ecliptical,unit_vector_ecliptical,Unit vector(ecliptical)
u,unit vector equatorial,unit_vector_equatorial,Unit vector(equitorial)
